deltaT[s], maxEuc_dU_[pixels], max_dU_1[pixels], max_dV_1[pixels], max_dU_2[pixels], max_dV_2[pixels], max_dU_3[pixels], max_dV_3[pixels], Avg Inv Kinem Time [ms], Avg Img Rec Time [ms]
0.02, 191, -9, 60, -12, 63, -9, 67, 0.04, 0
0.019, 193, -7, 56, -5, 65, -3, 72, 0, 0
0.018, 196, -5, 57, -2, 66, 0, 73, 0, 0
0.017, 197, -4, 58, -3, 66, -1, 73, 0, 0
0.016, 208, 3, 61, 5, 69, 6, 78, 0, 0
0.015, 205, 1, 60, 3, 68, 5, 77, 0, 0
0.014, 225, 11, 66, 13, 74, 13, 83, 0, 0
0.013, 252, 22, 72, 26, 79, 25, 91, 0, 0
0.012, 265, 27, 75, 31, 82, 29, 95, 0, 0
0.011, 296, 37, 81, 42, 88, 39, 103, 0, 0
0.01, 310, 42, 84, 48, 91, 44, 107, 0, 0
0.009, 327, 43, 90, 49, 96, 45, 113, 0, 0
0.008, 396, 41, -134, 37, -94, 1, -155, 0, 0
0.007, 458, 81, -147, 72, -95, 33, -169, 0, 0
0.006, 509, 58, -175, 33, -106, -6, -214, 0, 0
0.005, 748, 65, -258, 32, -177, -10, -303, 0, 0
